id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-856,"Tongue, pig, cured",andre,"Tongue, pig, cured fra Frida DTU database",181.6,17,,10,,"{""A"":0,""D"":0.09,""E"":0.1,""B1"":0.33,""B2"":0.42,""B3"":5.3,""Folate"":3,""C"":2.7}","{""sodium"":1690,""potassium"":180,""calcium"":9,""magnesium"":16,""iron"":2.15,""zinc"":2.6,""selenium"":12,""phosphor"":285}",frida_dtu,856,true
frida-859,"Dried fruits spread, average values",frugt,"Dried fruits spread, average values fra Frida DTU database",320.09,2.73,56.7,5.56,,"{""A"":9.49,""D"":0,""E"":1.01,""B1"":0.064,""B2"":0.098,""B3"":0.86,""Folate"":6.38,""C"":0.76}","{""sodium"":57,""potassium"":844,""calcium"":138,""magnesium"":75,""iron"":1.71,""zinc"":2.2,""selenium"":0.64,""phosphor"":70}",frida_dtu,859,true
frida-860,"Squab (pigeon), flesh, raw",andre,"Squab (pigeon), flesh, raw fra Frida DTU database",141.5,18.5,,7.5,,"{""A"":28,""D"":0.4,""B1"":0.283,""B2"":0.285,""B3"":6.86,""Folate"":13,""C"":7.2}","{""sodium"":69,""potassium"":270,""calcium"":13,""magnesium"":22,""iron"":4.51,""zinc"":2.7,""phosphor"":307}",frida_dtu,860,true
frida-861,"Bread, white",kornprodukter,"Bread, white fra Frida DTU database",271.11,8.77,47.05,3.89,,"{""A"":0,""D"":0,""E"":0.5,""B1"":0.166,""B2"":0.069,""B3"":1,""Folate"":40.17,""C"":0}","{""sodium"":424,""potassium"":138,""calcium"":39,""magnesium"":20,""iron"":1.08,""zinc"":0.64,""selenium"":2.65,""phosphor"":114}",frida_dtu,861,true
frida-862,"Currant, black, juice, concentrated, sugar added",andre,"Currant, black, juice, concentrated, sugar added fra Frida DTU database",198.5,0.5,47,0.5,,"{""E"":0,""B3"":0.15,""C"":66}","{""sodium"":24,""calcium"":12,""phosphor"":11}",frida_dtu,862,true
frida-863,"Wheat bread, white, with walnuts",nødder,"Wheat bread, white, with walnuts fra Frida DTU database",279.69,8.94,46.47,5.15,,"{""B1"":0.192,""B2"":0.091,""B3"":2,""Folate"":47}","{""sodium"":535,""potassium"":186,""calcium"":53,""magnesium"":30,""iron"":1.19,""zinc"":0.91,""phosphor"":133}",frida_dtu,863,true
frida-864,"Nut, pea, oilroasted and salted",fedtstoffer,"Nut, pea, oilroasted and salted fra Frida DTU database",631.68,24.56,8.1,53.33,,"{""A"":0,""D"":0,""E"":8.1,""B1"":0.141,""B2"":0.085,""B3"":12.2,""Folate"":124,""C"":0.8}","{""sodium"":503,""potassium"":700,""calcium"":45,""magnesium"":190,""iron"":1.46,""zinc"":3.27,""selenium"":6.9,""phosphor"":391}",frida_dtu,864,true
frida-866,"Sprat, raw",andre,"Sprat, raw fra Frida DTU database",135.7,10.3,,10.5,,"{""A"":150,""D"":20.3,""E"":2.5,""B1"":0.04,""B2"":0.26,""B3"":5,""C"":0}","{""sodium"":68,""potassium"":230,""calcium"":280,""magnesium"":20,""iron"":0.7,""zinc"":1.6,""selenium"":10,""phosphor"":220}",frida_dtu,866,true
frida-867,"Coriander, leaf, raw",andre,"Coriander, leaf, raw fra Frida DTU database",22.28,2.13,1.17,0.52,,"{""A"":655,""E"":2.5,""B1"":0.067,""B2"":0.162,""B3"":1.11,""Folate"":62,""C"":27}","{""sodium"":46,""potassium"":521,""calcium"":67,""magnesium"":26,""iron"":1.77,""zinc"":0.5,""selenium"":0.9,""phosphor"":48}",frida_dtu,867,true
frida-868,"Bamboo shoots, canned, salted",andre,"Bamboo shoots, canned, salted fra Frida DTU database",22.7,2.6,0.7,0.1,,"{""A"":0,""D"":0,""E"":0.2,""B1"":0.01,""B2"":0.04,""B3"":0.1,""Folate"":36,""C"":0}","{""sodium"":600,""potassium"":85,""calcium"":24,""magnesium"":4,""iron"":0,""zinc"":0.2,""selenium"":1,""phosphor"":31}",frida_dtu,868,true
