id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-608,"Torsk  lever  rå",fisk,"Torsk  lever  rå fra Frida DTU database",623.8,5.1,1,66.6,,"{""A"":5100,""D"":100,""E"":20,""B1"":10,""B2"":0.65,""B3"":2.5,""B6"":0.15,""Folate"":300,""C"":4}","{""sodium"":589,""potassium"":130,""calcium"":10,""magnesium"":8,""iron"":4,""zinc"":1.94,""selenium"":63.5,""phosphor"":100}",frida_dtu,608,true
frida-610,"Nektarin  rå",andre,"Nektarin  rå fra Frida DTU database",41.87,0.8,8.23,,,"{""A"":25,""D"":0,""E"":0.66,""B1"":0,""B2"":0.002,""B3"":0.62,""B6"":0.004,""Folate"":5,""C"":3.14}","{""sodium"":0,""potassium"":214,""calcium"":7,""magnesium"":9,""iron"":0.14,""zinc"":0.12,""selenium"":0.09,""phosphor"":24}",frida_dtu,610,true
frida-611,"Gedde  rå",andre,"Gedde  rå fra Frida DTU database",89.6,19,,1.2,,"{""A"":0,""D"":0.9,""E"":0.7,""B1"":24,""B2"":0,""B3"":1.5,""B6"":0.15,""C"":3}","{""sodium"":53,""potassium"":368,""calcium"":50,""magnesium"":29,""iron"":0.3,""zinc"":0.96,""selenium"":5.42,""phosphor"":240}",frida_dtu,611,true
frida-612,"Dressing  olie-eddike  kalorielet",fedtstoffer,"Dressing  olie-eddike  kalorielet fra Frida DTU database",48.7,0.26,9.16,1.5,,"{""A"":0,""D"":0,""E"":0.3,""B1"":0,""B2"":0,""B3"":0,""B6"":0,""Folate"":0,""C"":0}","{""sodium"":1140,""potassium"":6,""calcium"":12,""magnesium"":6,""iron"":0,""zinc"":0,""selenium"":0,""phosphor"":2}",frida_dtu,612,true
frida-614,"Squash  alle typer  rå",grøntsager,"Squash  alle typer  rå fra Frida DTU database",16.6,1.61,2.2,0.2,,"{""A"":23.33,""D"":0,""E"":0.1,""B1"":0,""B2"":0.142,""B3"":0.49,""B6"":0.1,""Folate"":48,""C"":17}","{""sodium"":5,""potassium"":274,""calcium"":29,""magnesium"":19,""iron"":0.61,""zinc"":0,""selenium"":0.24,""phosphor"":38}",frida_dtu,614,true
frida-615,"Hvedebrød  groft  kærnebrød",kornprodukter,"Hvedebrød  groft  kærnebrød fra Frida DTU database",231.4,6.9,41,2.6,,"{""A"":0,""B1"":0.4,""B2"":0.3,""B3"":1.35}","{""sodium"":608,""potassium"":270,""calcium"":225,""magnesium"":52,""iron"":4.52,""zinc"":1.36,""selenium"":2.4}",frida_dtu,615,true
frida-616,"Avocado  rå",andre,"Avocado  rå fra Frida DTU database",155,1.62,1.1,15.06,,"{""A"":11.17,""D"":0,""E"":1.94,""B1"":0,""B2"":0.109,""B3"":1.22,""B6"":0.139,""Folate"":31,""C"":2.87}","{""sodium"":2,""potassium"":434,""calcium"":15,""magnesium"":29,""iron"":0.47,""zinc"":0.54,""selenium"":0,""phosphor"":45}",frida_dtu,616,true
frida-617,"Hvedeklid",andre,"Hvedeklid fra Frida DTU database",291.3,16.15,24.54,5.3,,"{""A"":0,""D"":0,""E"":1.6,""B1"":0,""B2"":0.36,""B3"":29.6,""B6"":1.38,""Folate"":140,""C"":0}","{""sodium"":28,""potassium"":1340,""calcium"":75,""magnesium"":480,""iron"":19,""zinc"":7.7,""selenium"":6.8,""phosphor"":1055}",frida_dtu,617,true
frida-621,"Rødbede  konserves",andre,"Rødbede  konserves fra Frida DTU database",60.3,1,11.97,0.3,,"{""A"":1.17,""D"":0,""E"":0.08,""B1"":0,""B2"":0.04,""B3"":0.16,""B6"":0.05,""Folate"":69,""C"":4.1}","{""sodium"":194,""potassium"":330,""calcium"":23,""magnesium"":15,""iron"":0.7,""zinc"":0.31,""selenium"":0.2,""phosphor"":24}",frida_dtu,621,true
frida-622,"Brune linser  tørrede  rå",bælgfrugter,"Brune linser  tørrede  rå fra Frida DTU database",336.4,25,46,2,,"{}","{""sodium"":1,""calcium"":70,""iron"":6.51,""phosphor"":373}",frida_dtu,622,true
frida-624,"Tomat  importeret  rå",grøntsager,"Tomat  importeret  rå fra Frida DTU database",32.6,1.1,3.17,0.4,,"{""A"":165.33,""D"":0,""E"":0.5,""B1"":0,""B2"":0.016,""B3"":0.73,""B6"":0.086,""Folate"":31,""C"":18}","{""sodium"":13,""potassium"":252,""calcium"":7,""magnesium"":11,""iron"":0.24,""zinc"":0.09,""selenium"":0.2,""phosphor"":27}",frida_dtu,624,true
frida-625,"Hummer  kogt",fisk,"Hummer  kogt fra Frida DTU database",89.5,18.7,,1.5,,"{""A"":0,""D"":0,""E"":2,""B1"":0.5,""B2"":0.02,""B3"":2,""B6"":0.21,""Folate"":7,""C"":0}","{""sodium"":1240,""potassium"":135,""calcium"":85,""magnesium"":47,""iron"":0.8,""zinc"":1.8,""selenium"":38.12,""phosphor"":192}",frida_dtu,625,true
frida-626,"Hummer  konserves",fisk,"Hummer  konserves fra Frida DTU database",89.5,18.7,,2,,"{""A"":0,""D"":0,""E"":2.2,""B1"":0.5,""B2"":0.02,""B3"":1.5,""B6"":0.21,""Folate"":7,""C"":0}","{""sodium"":1,""potassium"":135,""calcium"":85,""magnesium"":47,""iron"":0.8,""zinc"":1.8,""selenium"":38.12,""phosphor"":192}",frida_dtu,626,true
frida-627,"Salat  hovedsalat  rå",grøntsager,"Salat  hovedsalat  rå fra Frida DTU database",13.95,1.28,2.15,0.35,,"{""A"":240,""D"":0,""E"":0.3,""B1"":0,""B2"":0.1,""B3"":0.5,""B6"":0.082,""Folate"":24,""C"":9}","{""sodium"":18,""potassium"":320,""calcium"":52,""magnesium"":17,""iron"":0.65,""zinc"":0.51,""selenium"":0.1,""phosphor"":39}",frida_dtu,627,true
frida-628,"Margarine  70 %  bordbrug  blød  vegetabilsk fedt",fedtstoffer,"Margarine  70 %  bordbrug  blød  vegetabilsk fedt fra Frida DTU database",681,0.8,,70.6,,"{""A"":840,""D"":0,""E"":32.5,""B1"":0.1,""B2"":0.025,""B3"":0.02,""B6"":0.003,""Folate"":2,""C"":0}","{""sodium"":550,""potassium"":38,""calcium"":10,""magnesium"":2,""iron"":0.09,""zinc"":0,""selenium"":0,""phosphor"":23}",frida_dtu,628,true
frida-629,"Rødkål  konserves",grøntsager,"Rødkål  konserves fra Frida DTU database",75.2,1,5.1,0.2,,"{""A"":4.17,""D"":0,""E"":0.07,""B1"":0,""B2"":0.05,""B3"":0.6,""B6"":0.107,""Folate"":23,""C"":20}","{""sodium"":300,""potassium"":100,""calcium"":39,""magnesium"":6,""iron"":0.83,""zinc"":0.55,""selenium"":0.3,""phosphor"":29}",frida_dtu,629,true
frida-630,"Litchi  rå",andre,"Litchi  rå fra Frida DTU database",70.8,0.83,15.2,0.44,,"{""A"":0,""D"":0,""B1"":0,""B2"":0.065,""B3"":0.6,""C"":71.5}","{""sodium"":1,""potassium"":171,""calcium"":5,""magnesium"":10,""iron"":0.31,""zinc"":0.07,""phosphor"":31}",frida_dtu,630,true
