id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1794,"Pølse  med sojaprotein",andre,"Pølse  med sojaprotein fra Frida DTU database",164.11,11.43,1.1,10.48,,"{""A"":11.76,""D"":0,""E"":2.29,""B1"":0,""B2"":0.082,""B3"":0.35,""B6"":0.042,""Folate"":34.08}","{""sodium"":573,""potassium"":290,""calcium"":61,""magnesium"":38,""iron"":16,""zinc"":0.61,""selenium"":9.75,""phosphor"":145}",frida_dtu,1794,true
frida-1795,"Oksekød  filet  marmoreret  rå",kød,"Oksekød  filet  marmoreret  rå fra Frida DTU database",190.21,18.64,,12.85,,"{""A"":0,""D"":0.54,""E"":0.29,""B1"":1.06,""B2"":0.16,""B3"":4.76,""B6"":0.176,""Folate"":9.72,""C"":0}","{""sodium"":44,""potassium"":308,""calcium"":5,""magnesium"":18,""iron"":1.68,""zinc"":4.25,""selenium"":7.88,""phosphor"":163}",frida_dtu,1795,true
frida-1796,"Surbær (Aroniabær)",frugt,"Surbær (Aroniabær) fra Frida DTU database",50.1,0.7,8.8,0.1,,"{""A"":188.33,""D"":0,""E"":1.5,""B1"":0,""B2"":0.02,""B3"":0.3,""B6"":0.03,""Folate"":6.6,""C"":27.8}","{""sodium"":3,""potassium"":218,""calcium"":32,""magnesium"":16,""iron"":0.9,""zinc"":0.3,""selenium"":0,""phosphor"":72}",frida_dtu,1796,true
frida-1797,"Havredrik  tilsat calcium og vitaminer",kornprodukter,"Havredrik  tilsat calcium og vitaminer fra Frida DTU database",62.23,0.76,11.45,2.4,,"{""A"":0,""D"":1.1,""E"":0.27,""B1"":0.455,""B2"":0.352,""B3"":0,""B6"":0.013,""Folate"":0,""C"":0}","{""sodium"":39,""potassium"":81,""calcium"":98,""magnesium"":3,""iron"":0.17,""zinc"":0.13,""selenium"":0.55,""phosphor"":42}",frida_dtu,1797,true
frida-1798,"Mandeldrik  tilsat calcium",kød,"Mandeldrik  tilsat calcium fra Frida DTU database",28.14,0.54,1.65,1.8,,"{""A"":0,""D"":0,""E"":0.38,""B1"":0.05,""B2"":0.016,""B3"":0,""B6"":0,""Folate"":0,""C"":0}","{""sodium"":38,""potassium"":19,""calcium"":98,""magnesium"":12,""iron"":0.31,""zinc"":0.08,""selenium"":0,""phosphor"":11}",frida_dtu,1798,true
frida-1799,"Linser  røde  tørrede  rå",bælgfrugter,"Linser  røde  tørrede  rå fra Frida DTU database",322.56,22.53,31.88,1.95,,"{""A"":3.04,""D"":0,""E"":0.28,""B1"":0.408,""B2"":0.179,""B3"":1.84,""B6"":0.367,""Folate"":99.72,""C"":0.86}","{""sodium"":1,""potassium"":870,""calcium"":24,""magnesium"":75,""iron"":4.97,""zinc"":3.58,""selenium"":11.83,""phosphor"":353}",frida_dtu,1799,true
frida-1800,"Linser  grønne  tørrede  rå",bælgfrugter,"Linser  grønne  tørrede  rå fra Frida DTU database",309.77,20.47,29.18,1.87,,"{""A"":3.92,""D"":0,""E"":0.59,""B1"":0.297,""B2"":0.162,""B3"":2.17,""B6"":0.409,""Folate"":117.67,""C"":1.02}","{""sodium"":1,""potassium"":900,""calcium"":58,""magnesium"":96,""iron"":7.43,""zinc"":3.73,""selenium"":31.97,""phosphor"":327}",frida_dtu,1800,true
frida-1801,"Bønner  hvide  tørrede  rå",bælgfrugter,"Bønner  hvide  tørrede  rå fra Frida DTU database",275.81,18.01,20.55,2.1,,"{""A"":0,""D"":0,""E"":0,""B1"":0.317,""B2"":0.148,""B3"":1.5,""B6"":0.409,""Folate"":82.1,""C"":0.18}","{""sodium"":0,""potassium"":1463,""calcium"":165,""magnesium"":161,""iron"":5.81,""zinc"":2.24,""selenium"":2.27,""phosphor"":419}",frida_dtu,1801,true
frida-1802,"Bønner  røde kidney  tørrede  rå",bælgfrugter,"Bønner  røde kidney  tørrede  rå fra Frida DTU database",279.11,18.96,22.1,1.86,,"{""A"":0.59,""D"":0,""E"":0.08,""B1"":0.261,""B2"":0.132,""B3"":1.89,""B6"":0.331,""Folate"":93,""C"":0.4}","{""sodium"":0,""potassium"":1288,""calcium"":102,""magnesium"":139,""iron"":5.2,""zinc"":2.36,""selenium"":2.08,""phosphor"":430}",frida_dtu,1802,true
frida-1803,"Kikærter  tørrede  rå",bælgfrugter,"Kikærter  tørrede  rå fra Frida DTU database",336.83,18.79,25.85,6,,"{""A"":0,""D"":0,""E"":2.33,""B1"":0.345,""B2"":0.135,""B3"":1.58,""B6"":0.527,""Folate"":181,""C"":0.62}","{""sodium"":3,""potassium"":995,""calcium"":115,""magnesium"":130,""iron"":4.7,""zinc"":3.1,""selenium"":6.15,""phosphor"":345}",frida_dtu,1803,true
