id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1523,"Hvedebrød  groft  store  industrifremstillet",kornprodukter,"Hvedebrød  groft  store  industrifremstillet fra Frida DTU database",253.29,9,43.03,3.63,,"{""A"":0,""D"":0,""E"":0.5,""B1"":0,""B2"":0.072,""B3"":1.06,""B6"":0,""Folate"":23.4,""C"":0}","{""sodium"":421,""potassium"":155,""calcium"":26,""magnesium"":28,""iron"":1.18,""zinc"":0.92,""selenium"":3.7,""phosphor"":110}",frida_dtu,1523,true
frida-1524,"Hvedebrød  groft  store  detailbageri",kornprodukter,"Hvedebrød  groft  store  detailbageri fra Frida DTU database",256.37,8.36,46,3,,"{""B1"":0.096,""B2"":0.078,""B3"":1.58,""B6"":0.105,""Folate"":38.89}","{""sodium"":506,""potassium"":170,""calcium"":45,""magnesium"":34,""iron"":1.19,""zinc"":0.93,""selenium"":2.24,""phosphor"":131}",frida_dtu,1524,true
frida-1548,"Tigerreje  opdræt  rå  dybfrost",mejeriprodukter,"Tigerreje  opdræt  rå  dybfrost fra Frida DTU database",68.19,15.7,,0.6,,"{""A"":0,""D"":0,""E"":1.15,""B1"":1.395,""B2"":0.025,""B3"":1.55,""B6"":0.087,""C"":0}","{""sodium"":412,""potassium"":104,""calcium"":72,""magnesium"":30,""iron"":0.57,""zinc"":0.97,""selenium"":29.5,""phosphor"":199}",frida_dtu,1548,true
frida-1549,"Reje  sort tiger-  opdræt  kogt  dybfrost",mejeriprodukter,"Reje  sort tiger-  opdræt  kogt  dybfrost fra Frida DTU database",58.03,13.5,,0.45,,"{}","{""sodium"":570,""selenium"":32.1}",frida_dtu,1549,true
frida-1552,"Laks  atlantisk  opdræt  koldrøget",fisk,"Laks  atlantisk  opdræt  koldrøget fra Frida DTU database",169.88,20.86,,8.9,,"{""A"":6.45,""D"":4,""E"":2.24,""B1"":4.6,""B2"":0.083,""B3"":7.5,""B6"":0.655}","{""sodium"":1207,""potassium"":408,""calcium"":6,""magnesium"":28,""iron"":0.22,""zinc"":0.34,""selenium"":17.33,""phosphor"":248}",frida_dtu,1552,true
frida-1553,"Laks  atlantisk  opdræt  varmrøget",fisk,"Laks  atlantisk  opdræt  varmrøget fra Frida DTU database",266.75,20.11,,20.7,,"{""A"":12,""D"":8.06,""E"":3.8,""B1"":5.2,""B2"":0.115,""B3"":8.05,""B6"":0.515}","{""sodium"":519,""potassium"":393,""calcium"":10,""magnesium"":28,""iron"":0.34,""zinc"":0.33,""selenium"":7.4,""phosphor"":246}",frida_dtu,1553,true
frida-1570,"Hvid hvede  melmix",kornprodukter,"Hvid hvede  melmix fra Frida DTU database",340.96,11.89,59.3,4.2,,"{}","{""sodium"":753,""potassium"":337,""calcium"":87,""magnesium"":77,""iron"":2.74,""zinc"":1.73,""phosphor"":263}",frida_dtu,1570,true
frida-1573,"Småkage  hvede  traditionelle danske  industrifremstillet",andre,"Småkage  hvede  traditionelle danske  industrifremstillet fra Frida DTU database",519.81,4.89,61.69,27.11,,"{""B3"":2.15}","{""sodium"":219}",frida_dtu,1573,true
frida-1574,"Småkage  cookie (amerikansk type)  industrifremstillet",andre,"Småkage  cookie (amerikansk type)  industrifremstillet fra Frida DTU database",511.41,5.42,58.4,26.53,,"{""A"":183,""D"":0.3,""E"":2.2,""B1"":0.1,""B2"":0.1,""B3"":1.2,""B6"":0,""Folate"":7,""C"":0}","{""sodium"":281,""potassium"":202,""calcium"":95,""magnesium"":37,""iron"":1.6,""zinc"":0.8,""selenium"":4.07,""phosphor"":113}",frida_dtu,1574,true
frida-1575,"Småkage  havreflager  industrifremstillet",kornprodukter,"Småkage  havreflager  industrifremstillet fra Frida DTU database",503.78,5,61.18,26.6,,"{""A"":2.7,""D"":0,""E"":4,""B1"":0,""B2"":0.052,""B3"":1.2,""B6"":0.06,""Folate"":11.2,""C"":0}","{""sodium"":214,""potassium"":124,""calcium"":198,""magnesium"":44,""iron"":1.2,""zinc"":0.9,""selenium"":2.7,""phosphor"":254}",frida_dtu,1575,true
frida-1576,"Småkage  brunkage  industrifremstillet",andre,"Småkage  brunkage  industrifremstillet fra Frida DTU database",468.6,5.24,66,17.77,,"{""A"":175,""D"":0.1,""E"":2.4,""B1"":0,""B2"":0,""B3"":2.15,""B6"":0,""Folate"":9.5,""C"":0.9}","{""sodium"":248,""potassium"":172,""calcium"":141,""magnesium"":29,""iron"":1.3,""zinc"":0.6,""selenium"":2.5,""phosphor"":139}",frida_dtu,1576,true
frida-1577,"Småkage  pebernød  industrifremstillet",grøntsager,"Småkage  pebernød  industrifremstillet fra Frida DTU database",475.75,5.31,67.23,19.19,,"{""A"":174,""D"":0,""E"":3,""B1"":0,""B2"":0.1,""B3"":2.15,""B6"":0,""Folate"":9.9,""C"":0.1}","{""sodium"":218,""potassium"":249,""calcium"":174,""magnesium"":35,""iron"":1.8,""zinc"":1,""selenium"":2,""phosphor"":149}",frida_dtu,1577,true
frida-1578,"Småkage  klejne  industrifremstillet",andre,"Småkage  klejne  industrifremstillet fra Frida DTU database",527,5,49.24,36.43,,"{""A"":141,""D"":0.5,""E"":1.9,""B1"":0.2,""B2"":0.1,""B3"":1.2,""B6"":0,""Folate"":11,""C"":0.2}","{""sodium"":96,""potassium"":99,""calcium"":20,""magnesium"":14,""iron"":0.8,""zinc"":0.6,""selenium"":5.64,""phosphor"":82}",frida_dtu,1578,true
frida-1579,"Småkage  med lavt sukkerindhold (sukkerfri  light) industrifremstillet",andre,"Småkage  med lavt sukkerindhold (sukkerfri  light) industrifremstillet fra Frida DTU database",482.78,6.51,47.13,23.73,,"{""B3"":2.15}","{""sodium"":183}",frida_dtu,1579,true
frida-1580,"Småkage  kokoskager  industrifremstillet",andre,"Småkage  kokoskager  industrifremstillet fra Frida DTU database",460.43,4.06,48.59,22,,"{""A"":170,""D"":0,""E"":2.1,""B1"":0,""B2"":0,""B3"":1,""B6"":0,""Folate"":8.8,""C"":0}","{""sodium"":55,""potassium"":140,""calcium"":140,""magnesium"":37,""iron"":1,""zinc"":0.7,""selenium"":2.7,""phosphor"":190}",frida_dtu,1580,true
frida-1581,"Kage  trøffelprodukt / koldprodukt  industrifremstillet",andre,"Kage  trøffelprodukt / koldprodukt  industrifremstillet fra Frida DTU database",449.03,3.69,58.07,21.79,,"{""A"":211.3,""D"":1.97,""E"":2.84,""B1"":0.09,""B2"":0.04,""B3"":0.41,""B6"":0.04,""Folate"":9.2,""C"":0.3}","{""sodium"":151,""potassium"":123,""calcium"":28,""magnesium"":18,""iron"":0.58,""zinc"":0.38,""selenium"":2.59,""phosphor"":87}",frida_dtu,1581,true
frida-1582,"Kransekage  industrifremstillet",andre,"Kransekage  industrifremstillet fra Frida DTU database",442.8,6.03,59.92,19,,"{""A"":8.9,""D"":0,""E"":8.5,""B1"":0,""B2"":0.3,""B3"":4.1,""B6"":0,""Folate"":43,""C"":0}","{""sodium"":39,""potassium"":201,""calcium"":42,""magnesium"":100,""iron"":1,""zinc"":1.1,""selenium"":1.3,""phosphor"":171}",frida_dtu,1582,true
