id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-308,"Cheese, hard, Grana, 32 % fidm.",mejeriprodukter,"Cheese, hard, Grana, 32 % fidm. fra Frida DTU database",353.84,33.14,0.23,24.1,,"{""A"":222.67,""D"":0.24,""E"":0.61,""B1"":0.039,""B2"":0.332,""B3"":0.27,""Folate"":7,""C"":0}","{""sodium"":998,""potassium"":92,""calcium"":1180,""magnesium"":44,""iron"":0.82,""zinc"":2.75,""selenium"":10,""phosphor"":930}",frida_dtu,308,true
frida-309,"Cheese, hard, Parmesan, 32 % fidm.",mejeriprodukter,"Cheese, hard, Parmesan, 32 % fidm. fra Frida DTU database",359.7,33.6,2.16,24.38,,"{""A"":222.67,""D"":0.24,""E"":0.61,""B1"":0.039,""B2"":0.332,""B3"":0.27,""Folate"":7,""C"":0}","{""sodium"":998,""potassium"":92,""calcium"":1180,""magnesium"":44,""iron"":0.82,""zinc"":2.75,""selenium"":11,""phosphor"":930}",frida_dtu,309,true
frida-313,"Gin",andre,"Gin fra Frida DTU database",265.3,,,,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0,""B3"":0,""Folate"":0,""C"":0}","{""sodium"":2,""potassium"":0,""calcium"":0,""magnesium"":0,""iron"":0.18,""zinc"":0,""phosphor"":0}",frida_dtu,313,true
frida-317,"Gherkin, pickled, no sugar added",andre,"Gherkin, pickled, no sugar added fra Frida DTU database",9.76,0.33,0.5,0.2,,"{""A"":0,""D"":0,""E"":0.2,""B1"":0,""B2"":0,""B3"":0.1,""Folate"":8,""C"":0}","{""sodium"":277,""potassium"":183,""calcium"":33,""magnesium"":11,""iron"":0.1,""zinc"":0.2,""selenium"":0,""phosphor"":4}",frida_dtu,317,true
frida-319,"Yeast, baker`s, compressed",andre,"Yeast, baker`s, compressed fra Frida DTU database",114,7.66,,1.9,,"{""A"":0,""D"":0,""E"":0.2,""B1"":0.47,""B2"":1.4,""B3"":7.5,""Folate"":140,""C"":0.1}","{""sodium"":16,""potassium"":610,""calcium"":15,""magnesium"":31,""iron"":1.6,""zinc"":4.5,""selenium"":1,""phosphor"":340}",frida_dtu,319,true
frida-320,"Biscuit, sweet, vanilla flavoured",andre,"Biscuit, sweet, vanilla flavoured fra Frida DTU database",528.02,4.7,61.5,28.8,,"{""A"":255,""D"":0.1,""E"":4.8,""B1"":0.1,""B2"":0.1,""B3"":0.57,""Folate"":12,""C"":0}","{""sodium"":197,""potassium"":90,""calcium"":34,""magnesium"":32,""iron"":0.4,""zinc"":0.6,""selenium"":2.5,""phosphor"":91}",frida_dtu,320,true
frida-321,"Cheese, hard, Cheddar, Danish",mejeriprodukter,"Cheese, hard, Cheddar, Danish fra Frida DTU database",405.31,25.81,0.14,33.1,,"{""A"":305.33,""D"":0.31,""E"":0.84,""B1"":0.04,""B2"":0.5,""B3"":0.1,""Folate"":20,""C"":0}","{""sodium"":678,""potassium"":120,""calcium"":739,""magnesium"":25,""iron"":0.4,""zinc"":4,""selenium"":9,""phosphor"":470}",frida_dtu,321,true
frida-324,"Fish cake, raw",fisk,"Fish cake, raw fra Frida DTU database",108.12,8.5,11.56,2.8,,"{""A"":0,""D"":0,""E"":0.25,""B1"":0.065,""B2"":0.14,""B3"":0.8,""C"":0}","{""sodium"":611,""potassium"":234,""calcium"":100,""magnesium"":17,""iron"":0.45,""zinc"":0.4,""selenium"":14}",frida_dtu,324,true
frida-325,"Rum",andre,"Rum fra Frida DTU database",277.9,,,,,"{""A"":0,""D"":0,""E"":0,""B1"":0.006,""B2"":0.004,""B3"":0,""Folate"":0,""C"":0}","{""sodium"":1,""potassium"":2,""calcium"":0,""magnesium"":0,""iron"":0.04,""zinc"":0.02,""phosphor"":4}",frida_dtu,325,true
frida-328,"Pistachio nuts, dried",nødder,"Pistachio nuts, dried fra Frida DTU database",605.51,21.6,8.06,50.25,6,"{""A"":0,""D"":0,""E"":1.64,""B1"":0.424,""B2"":0.244,""B3"":1.1,""Folate"":68.35,""C"":5}","{""sodium"":0,""potassium"":1000,""calcium"":92,""magnesium"":110,""iron"":2.8,""zinc"":2.45,""selenium"":6.75,""phosphor"":470}",frida_dtu,328,true
