id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1794,"Sausage, with soy protein",andre,"Sausage, with soy protein fra Frida DTU database",164.11,11.43,1.1,10.48,4.66,"{""A"":11.76,""D"":0,""E"":2.29,""B1"":0.045,""B2"":0.082,""B3"":0.35,""Folate"":34.08}","{""sodium"":573,""potassium"":290,""calcium"":61,""magnesium"":38,""iron"":16,""zinc"":0.61,""selenium"":9.75,""phosphor"":145}",frida_dtu,1794,true
frida-1795,"Beef, entrecote/rib eye, raw",kød,"Beef, entrecote/rib eye, raw fra Frida DTU database",190.21,18.64,,12.85,,"{""A"":0,""D"":0.04,""E"":0.29,""B1"":0.024,""B2"":0.16,""B3"":4.76,""Folate"":9.72,""C"":0}","{""sodium"":44,""potassium"":308,""calcium"":5,""magnesium"":18,""iron"":1.68,""zinc"":4.25,""selenium"":7.88,""phosphor"":163}",frida_dtu,1795,true
frida-1796,"Aronia berries",andre,"Aronia berries fra Frida DTU database",50.1,0.7,8.8,0.1,,"{""A"":188.33,""D"":0,""E"":1.5,""B1"":0.02,""B2"":0.02,""B3"":0.3,""Folate"":6.6,""C"":27.8}","{""sodium"":3,""potassium"":218,""calcium"":32,""magnesium"":16,""iron"":0.9,""zinc"":0.3,""selenium"":0,""phosphor"":72}",frida_dtu,1796,true
frida-1797,"Oatmilk, with added calcium and vitamins",mejeriprodukter,"Oatmilk, with added calcium and vitamins fra Frida DTU database",62.23,0.76,11.45,2.4,,"{""A"":0,""D"":1.1,""E"":0.27,""B1"":0.033,""B2"":0.352,""B3"":0,""Folate"":0,""C"":0}","{""sodium"":39,""potassium"":81,""calcium"":98,""magnesium"":3,""iron"":0.17,""zinc"":0.13,""selenium"":0.55,""phosphor"":42}",frida_dtu,1797,true
frida-1798,"Almondmilk, with added calcium",mejeriprodukter,"Almondmilk, with added calcium fra Frida DTU database",28.14,0.54,1.65,1.8,,"{""A"":0,""D"":0,""E"":0.38,""B1"":0,""B2"":0.016,""B3"":0,""Folate"":0,""C"":0}","{""sodium"":38,""potassium"":19,""calcium"":98,""magnesium"":12,""iron"":0.31,""zinc"":0.08,""selenium"":0,""phosphor"":11}",frida_dtu,1798,true
frida-1799,"Lentils, red, dried, raw",bælgfrugter,"Lentils, red, dried, raw fra Frida DTU database",322.56,22.53,31.88,1.95,11.1,"{""A"":3.04,""D"":0,""E"":0.28,""B1"":0.408,""B2"":0.179,""B3"":1.84,""Folate"":99.72,""C"":0.86}","{""sodium"":1,""potassium"":870,""calcium"":24,""magnesium"":75,""iron"":4.97,""zinc"":3.58,""selenium"":11.83,""phosphor"":353}",frida_dtu,1799,true
frida-1800,"Lentils, green, dried, raw",bælgfrugter,"Lentils, green, dried, raw fra Frida DTU database",309.77,20.47,29.18,1.87,15.4,"{""A"":3.92,""D"":0,""E"":0.59,""B1"":0.297,""B2"":0.162,""B3"":2.17,""Folate"":117.67,""C"":1.02}","{""sodium"":1,""potassium"":900,""calcium"":58,""magnesium"":96,""iron"":7.43,""zinc"":3.73,""selenium"":31.97,""phosphor"":327}",frida_dtu,1800,true
frida-1801,"Beans, white, dried, raw",bælgfrugter,"Beans, white, dried, raw fra Frida DTU database",275.81,18.01,20.55,2.1,24.6,"{""A"":0,""D"":0,""E"":0,""B1"":0.317,""B2"":0.148,""B3"":1.5,""Folate"":82.1,""C"":0.18}","{""sodium"":0,""potassium"":1463,""calcium"":165,""magnesium"":161,""iron"":5.81,""zinc"":2.24,""selenium"":2.27,""phosphor"":419}",frida_dtu,1801,true
frida-1802,"Beans, red kidney, dried, raw",bælgfrugter,"Beans, red kidney, dried, raw fra Frida DTU database",279.11,18.96,22.1,1.86,22,"{""A"":0.59,""D"":0,""E"":0.08,""B1"":0.261,""B2"":0.132,""B3"":1.89,""Folate"":93,""C"":0.4}","{""sodium"":0,""potassium"":1288,""calcium"":102,""magnesium"":139,""iron"":5.2,""zinc"":2.36,""selenium"":2.08,""phosphor"":430}",frida_dtu,1802,true
frida-1803,"Chickpeas, dry, raw",bælgfrugter,"Chickpeas, dry, raw fra Frida DTU database",336.83,18.79,25.85,6,13.29,"{""A"":0,""D"":0,""E"":2.33,""B1"":0.345,""B2"":0.135,""B3"":1.58,""Folate"":181,""C"":0.62}","{""sodium"":3,""potassium"":995,""calcium"":115,""magnesium"":130,""iron"":4.7,""zinc"":3.1,""selenium"":6.15,""phosphor"":345}",frida_dtu,1803,true
frida-1804,"Le Puy green lentil, dried, raw",andre,"Le Puy green lentil, dried, raw fra Frida DTU database",301.62,20.39,27.9,2,15.79,"{""A"":7.54,""D"":0,""E"":0.78,""B1"":0.314,""B2"":0.148,""B3"":1.92,""Folate"":129,""C"":0.72}","{""sodium"":1,""potassium"":1100,""calcium"":60,""magnesium"":110,""iron"":8.8,""zinc"":4.5,""selenium"":9.4,""phosphor"":445}",frida_dtu,1804,true
frida-1805,"Lentils, beluga, dried, raw",bælgfrugter,"Lentils, beluga, dried, raw fra Frida DTU database",308.74,22.55,30.45,1.95,15.31,"{""A"":11.02,""D"":0,""E"":0.87,""B1"":0.482,""B2"":1.61,""B3"":1.97,""Folate"":163.5,""C"":6.65}","{""sodium"":2,""potassium"":915,""calcium"":53,""magnesium"":102,""iron"":5.8,""zinc"":3.7,""selenium"":63,""phosphor"":330}",frida_dtu,1805,true
frida-1806,"Edamame beans (Soy beans), shelled, frozen",bælgfrugter,"Edamame beans (Soy beans), shelled, frozen fra Frida DTU database",131.8,10.71,2.15,7.05,3.97,"{""A"":7.81,""D"":0,""E"":1.14,""B1"":0.154,""B2"":0.122,""B3"":0.88,""Folate"":108,""C"":15.35}","{""sodium"":10,""potassium"":395,""calcium"":70,""magnesium"":60,""iron"":1.9,""zinc"":1.2,""selenium"":1,""phosphor"":160}",frida_dtu,1806,true
frida-1807,"Lentils, green, boiled, canned",fedtstoffer,"Lentils, green, boiled, canned fra Frida DTU database",90.28,5.67,3.55,0.55,3.97,"{""A"":0,""D"":0,""E"":0.28,""B1"":0.039,""B2"":0.087,""B3"":0.3,""Folate"":11.25,""C"":42.5}","{""sodium"":240,""potassium"":140,""calcium"":35,""magnesium"":19,""iron"":1.85,""zinc"":0.8,""selenium"":5.6,""phosphor"":76}",frida_dtu,1807,true
frida-1808,"Baked beans (white beans in tomato sauce)",grøntsager,"Baked beans (white beans in tomato sauce) fra Frida DTU database",80.85,3.72,5.95,0.5,4.24,"{""A"":7.37,""D"":0,""E"":0.22,""B1"":0.047,""B2"":0.061,""B3"":0.3,""Folate"":10.7,""C"":1.35}","{""sodium"":225,""potassium"":245,""calcium"":41,""magnesium"":28,""iron"":1.3,""zinc"":0.48,""selenium"":1.3,""phosphor"":78}",frida_dtu,1808,true
frida-1809,"Chili beans (red kidney beans in chilisauce)",bælgfrugter,"Chili beans (red kidney beans in chilisauce) fra Frida DTU database",87.19,4.49,5.7,0.9,4.42,"{""A"":11.66,""D"":0,""E"":0.49,""B1"":0.059,""B2"":0.072,""B3"":0.49,""Folate"":14.45,""C"":0}","{""sodium"":360,""potassium"":305,""calcium"":41,""magnesium"":32,""iron"":1.45,""zinc"":0.61,""selenium"":0.95,""phosphor"":94}",frida_dtu,1809,true
frida-1810,"Beans, red kidney, boiled, canned",fedtstoffer,"Beans, red kidney, boiled, canned fra Frida DTU database",94.56,6.07,6.6,0.85,5,"{""A"":0,""D"":0,""E"":0,""B1"":0.071,""B2"":0.427,""B3"":0.36,""Folate"":15.65,""C"":7.44}","{""sodium"":170,""potassium"":255,""calcium"":46,""magnesium"":32,""iron"":1.45,""zinc"":0.75,""selenium"":1.6,""phosphor"":97}",frida_dtu,1810,true
frida-1811,"Beans, red kidney, cooked, ready to eat",bælgfrugter,"Beans, red kidney, cooked, ready to eat fra Frida DTU database",125.04,8.08,4.5,0.85,6.47,"{""A"":0,""D"":0,""E"":0,""B1"":0.094,""B2"":0.082,""B3"":0.75,""Folate"":32.55,""C"":16.35}","{""sodium"":175,""potassium"":555,""calcium"":56,""magnesium"":65,""iron"":2.3,""zinc"":1.05,""selenium"":1.4,""phosphor"":180}",frida_dtu,1811,true
frida-1812,"Chickpeas, boiled, canned",fedtstoffer,"Chickpeas, boiled, canned fra Frida DTU database",113.1,6.24,8.2,2.3,5.41,"{""A"":1.16,""D"":0,""E"":0.99,""B1"":0.038,""B2"":0.05,""B3"":0.18,""Folate"":29.1,""C"":5.66}","{""sodium"":155,""potassium"":155,""calcium"":43,""magnesium"":32,""iron"":1.3,""zinc"":1.25,""selenium"":5,""phosphor"":90}",frida_dtu,1812,true
frida-1813,"Chickpeas, steamed, ready to eat",bælgfrugter,"Chickpeas, steamed, ready to eat fra Frida DTU database",149.55,8.53,8,2.8,6.4,"{""A"":1.22,""D"":0,""E"":1,""B1"":0.081,""B2"":0.094,""B3"":0.42,""Folate"":37.45,""C"":0}","{""sodium"":96,""potassium"":390,""calcium"":52,""magnesium"":58,""iron"":1.85,""zinc"":1.6,""selenium"":2.8,""phosphor"":150}",frida_dtu,1813,true
frida-1814,"Beans, black, boiled, canned",fedtstoffer,"Beans, black, boiled, canned fra Frida DTU database",106.89,6.63,4.25,1.05,6.23,"{""A"":0,""D"":0,""E"":0,""B1"":0.079,""B2"":0.059,""B3"":0.28,""Folate"":12.2,""C"":0}","{""sodium"":160,""potassium"":265,""calcium"":71,""magnesium"":41,""iron"":2,""zinc"":0.88,""selenium"":0,""phosphor"":110}",frida_dtu,1814,true
frida-1815,"White beans, dried and boiled",fedtstoffer,"White beans, dried and boiled fra Frida DTU database",133.81,8.73,10.5,1.17,11,"{""A"":0,""D"":0,""E"":0,""B1"":0.047,""B2"":0.018,""B3"":0.17,""Folate"":17,""C"":0}","{""sodium"":9,""potassium"":307,""calcium"":117,""magnesium"":55,""iron"":2.8,""zinc"":1.1,""selenium"":0,""phosphor"":163}",frida_dtu,1815,true
