id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-308,"Grana  32+",andre,"Grana  32+ fra Frida DTU database",353.84,33.14,0.23,24.1,,"{""A"":222.67,""D"":0.24,""E"":0.61,""B1"":1.6,""B2"":0.332,""B3"":0.27,""B6"":0.091,""Folate"":7,""C"":0}","{""sodium"":998,""potassium"":92,""calcium"":1180,""magnesium"":44,""iron"":0.82,""zinc"":2.75,""selenium"":10,""phosphor"":930}",frida_dtu,308,true
frida-309,"Parmesan  32+",andre,"Parmesan  32+ fra Frida DTU database",359.7,33.6,2.16,24.38,,"{""A"":222.67,""D"":0.24,""E"":0.61,""B1"":1.6,""B2"":0.332,""B3"":0.27,""B6"":0.091,""Folate"":7,""C"":0}","{""sodium"":998,""potassium"":92,""calcium"":1180,""magnesium"":44,""iron"":0.82,""zinc"":2.75,""selenium"":11,""phosphor"":930}",frida_dtu,309,true
frida-313,"Gin",andre,"Gin fra Frida DTU database",265.3,,,,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0,""B3"":0,""B6"":0,""Folate"":0,""C"":0}","{""sodium"":2,""potassium"":0,""calcium"":0,""magnesium"":0,""iron"":0.18,""zinc"":0,""phosphor"":0}",frida_dtu,313,true
frida-317,"Agurk  syltet  uden tilsat sukker",grøntsager,"Agurk  syltet  uden tilsat sukker fra Frida DTU database",9.76,0.33,0.5,0.2,,"{""A"":0,""D"":0,""E"":0.2,""B1"":0,""B2"":0,""B3"":0.1,""B6"":0.04,""Folate"":8,""C"":0}","{""sodium"":277,""potassium"":183,""calcium"":33,""magnesium"":11,""iron"":0.1,""zinc"":0.2,""selenium"":0,""phosphor"":4}",frida_dtu,317,true
frida-319,"Bagegær  presset  rå",andre,"Bagegær  presset  rå fra Frida DTU database",114,7.66,,1.9,,"{""A"":0,""D"":0,""E"":0.2,""B1"":0,""B2"":1.4,""B3"":7.5,""B6"":1.1,""Folate"":140,""C"":0.1}","{""sodium"":16,""potassium"":610,""calcium"":15,""magnesium"":31,""iron"":1.6,""zinc"":4.5,""selenium"":1,""phosphor"":340}",frida_dtu,319,true
frida-320,"Småkage  vanillekranse",andre,"Småkage  vanillekranse fra Frida DTU database",528.02,4.7,61.5,28.8,,"{""A"":255,""D"":0.1,""E"":4.8,""B1"":0.1,""B2"":0.1,""B3"":0.57,""B6"":0,""Folate"":12,""C"":0}","{""sodium"":197,""potassium"":90,""calcium"":34,""magnesium"":32,""iron"":0.4,""zinc"":0.6,""selenium"":2.5,""phosphor"":91}",frida_dtu,320,true
frida-321,"Cheddar  50+",andre,"Cheddar  50+ fra Frida DTU database",405.31,25.81,0.14,33.1,,"{""A"":305.33,""D"":0.31,""E"":0.84,""B1"":1.5,""B2"":0.5,""B3"":0.1,""B6"":0.08,""Folate"":20,""C"":0}","{""sodium"":678,""potassium"":120,""calcium"":739,""magnesium"":25,""iron"":0.4,""zinc"":4,""selenium"":9,""phosphor"":470}",frida_dtu,321,true
frida-324,"Fiskefars  rå",fisk,"Fiskefars  rå fra Frida DTU database",108.12,8.5,11.56,2.8,,"{""A"":0,""D"":0,""E"":0.25,""B1"":0.52,""B2"":0.14,""B3"":0.8,""B6"":0,""C"":0}","{""sodium"":611,""potassium"":234,""calcium"":100,""magnesium"":17,""iron"":0.45,""zinc"":0.4,""selenium"":14}",frida_dtu,324,true
frida-325,"Rom",andre,"Rom fra Frida DTU database",277.9,,,,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0.004,""B3"":0,""B6"":0.001,""Folate"":0,""C"":0}","{""sodium"":1,""potassium"":2,""calcium"":0,""magnesium"":0,""iron"":0.04,""zinc"":0.02,""phosphor"":4}",frida_dtu,325,true
frida-328,"Pistacienød  tørret",nødder,"Pistacienød  tørret fra Frida DTU database",605.51,21.6,8.06,50.25,,"{""A"":0,""D"":0,""E"":1.64,""B1"":0,""B2"":0.244,""B3"":1.1,""B6"":0.897,""Folate"":68.35,""C"":5}","{""sodium"":0,""potassium"":1000,""calcium"":92,""magnesium"":110,""iron"":2.8,""zinc"":2.45,""selenium"":6.75,""phosphor"":470}",frida_dtu,328,true
frida-330,"Flødeboller  skumboller",mejeriprodukter,"Flødeboller  skumboller fra Frida DTU database",406,4.2,63.1,15,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0.08,""B3"":0.81,""B6"":0.02,""Folate"":3.3,""C"":0}","{""sodium"":31,""potassium"":133,""calcium"":81,""magnesium"":22,""iron"":1,""zinc"":1,""selenium"":0.5,""phosphor"":97}",frida_dtu,330,true
frida-331,"Hirseflager",andre,"Hirseflager fra Frida DTU database",369.7,12.08,71.9,3.3,,"{""A"":0,""D"":0,""E"":0.05,""B1"":0,""B2"":0.29,""B3"":4.72,""B6"":0.75,""Folate"":27,""C"":0}","{""sodium"":0,""potassium"":220,""calcium"":10,""magnesium"":100,""iron"":4.8,""zinc"":3.4,""selenium"":16,""phosphor"":240}",frida_dtu,331,true
frida-333,"Rygeost  1 % fedt",mejeriprodukter,"Rygeost  1 % fedt fra Frida DTU database",67.93,11.88,3.5,0.52,,"{""A"":4.33,""D"":0.07,""E"":0.01,""B1"":0.59,""B2"":0.29,""B3"":0.45,""B6"":0.068,""Folate"":2,""C"":1}","{""sodium"":31,""potassium"":120,""calcium"":112,""magnesium"":13,""iron"":0.05,""zinc"":0.47,""selenium"":7.1,""phosphor"":207}",frida_dtu,333,true
frida-335,"Torsk  lever  konserves",fisk,"Torsk  lever  konserves fra Frida DTU database",531.9,4.6,1,55,,"{""A"":5100,""D"":100,""E"":20,""B1"":10.6,""B2"":0.34,""B3"":2.6,""B6"":0.15,""Folate"":300,""C"":0}","{""sodium"":589,""potassium"":130,""calcium"":10,""magnesium"":8,""iron"":2.1,""zinc"":1.94,""selenium"":63.5,""phosphor"":100}",frida_dtu,335,true
frida-337,"Snacks  ekspanderet  majsbasis",kød,"Snacks  ekspanderet  majsbasis fra Frida DTU database",503.3,7,59,26,,"{""D"":0,""B1"":0.108,""B2"":0,""B3"":1.81,""B6"":0,""Folate"":38}","{""sodium"":757,""potassium"":209,""calcium"":48,""magnesium"":54,""iron"":1.22,""zinc"":1.04,""selenium"":2.2,""phosphor"":143}",frida_dtu,337,true
frida-340,"Myseost  33+",mejeriprodukter,"Myseost  33+ fra Frida DTU database",433.4,15,33.1,27,,"{""A"":248.83,""D"":0.25,""E"":0.69,""B1"":0.37,""B2"":1.5,""B3"":0.8,""B6"":0.13,""Folate"":1,""C"":0.5}","{""sodium"":511,""potassium"":1300,""calcium"":340,""iron"":0.55,""selenium"":5,""phosphor"":332}",frida_dtu,340,true
frida-341,"Gruyere  45+",andre,"Gruyere  45+ fra Frida DTU database",396.1,29.9,2.01,30.1,,"{""A"":278,""D"":0.29,""E"":0.77,""B1"":1.5,""B2"":0.5,""B3"":0,""B6"":0.08,""Folate"":20,""C"":0}","{""sodium"":613,""potassium"":120,""calcium"":990,""magnesium"":25,""iron"":0,""zinc"":4,""selenium"":10,""phosphor"":610}",frida_dtu,341,true
frida-342,"Rødkål  konserves  uden tilsat sukker",grøntsager,"Rødkål  konserves  uden tilsat sukker fra Frida DTU database",19.7,0.5,2.1,0.1,,"{""A"":4.17,""D"":0,""E"":0.07,""B1"":0,""B2"":0.05,""B3"":0.6,""B6"":0.15,""Folate"":23,""C"":20}","{""sodium"":300,""potassium"":100,""calcium"":39,""magnesium"":6,""iron"":0.83,""zinc"":0.55,""selenium"":0.3,""phosphor"":29}",frida_dtu,342,true
frida-343,"Wienerbrød  kringle/stang",kornprodukter,"Wienerbrød  kringle/stang fra Frida DTU database",416.2,4.3,38.2,27,,"{""A"":267,""D"":0.1,""E"":1.1,""B1"":0.1,""B2"":0.1,""B3"":1.1,""B6"":0.038,""Folate"":16,""C"":0.1}","{""sodium"":296,""potassium"":133,""calcium"":57,""magnesium"":16,""iron"":0.4,""zinc"":0.5,""selenium"":2.4,""phosphor"":79}",frida_dtu,343,true
frida-344,"Sherry  sød",andre,"Sherry  sød fra Frida DTU database",135.7,0.3,6.5,,,"{""A"":0,""D"":0,""E"":0,""B1"":0,""B2"":0.01,""B3"":0.07,""B6"":0.008,""Folate"":0.1,""C"":0}","{""sodium"":13,""potassium"":109,""calcium"":7,""magnesium"":11,""iron"":0.37,""zinc"":0.21,""selenium"":0,""phosphor"":10}",frida_dtu,344,true
frida-348,"Figen  tørret",andre,"Figen  tørret fra Frida DTU database",291.7,3.3,54.03,0.93,,"{""A"":13.33,""D"":0,""B1"":0,""B2"":0.11,""B3"":0.75,""B6"":0.12,""Folate"":3,""C"":1.2}","{""sodium"":87,""potassium"":1010,""calcium"":193,""magnesium"":92,""iron"":2.2,""zinc"":0.9,""selenium"":0,""phosphor"":83}",frida_dtu,348,true
frida-350,"Tranebær  rå",frugt,"Tranebær  rå fra Frida DTU database",42.33,0.39,4,0.13,,"{""A"":6,""D"":0,""E"":2,""B1"":0,""B2"":0.02,""B3"":0,""B6"":0,""Folate"":1,""C"":13.3}","{""sodium"":2,""potassium"":85,""calcium"":8,""magnesium"":6,""iron"":0.25,""zinc"":0.1,""selenium"":0,""phosphor"":13}",frida_dtu,350,true
frida-351,"Tørkage  linse",andre,"Tørkage  linse fra Frida DTU database",385.4,5.56,40.1,22,,"{""A"":208,""D"":0.4,""E"":1.8,""B1"":0.2,""B2"":0.1,""B3"":1.3,""B6"":0,""Folate"":9.3,""C"":0.3}","{""sodium"":163,""potassium"":130,""calcium"":47,""magnesium"":17,""iron"":1,""zinc"":0.6,""selenium"":4,""phosphor"":89}",frida_dtu,351,true
frida-352,"Pop Corn (poppede majskærner)",andre,"Pop Corn (poppede majskærner) fra Frida DTU database",488.67,9.63,53.7,24.33,,"{""D"":0.16,""B1"":0.097,""B2"":0.07,""B3"":1.43,""B6"":0.2,""Folate"":43,""C"":71}","{""sodium"":400,""potassium"":182,""calcium"":10,""iron"":2.3,""zinc"":2.48,""selenium"":5,""phosphor"":180}",frida_dtu,352,true
frida-356,"Wienerbrød  julekage",kornprodukter,"Wienerbrød  julekage fra Frida DTU database",458.29,5,38.1,31,,"{""A"":137,""E"":1.1,""B1"":0.065,""B2"":0.06,""B3"":0.55,""B6"":0.045}","{""sodium"":395,""potassium"":119,""calcium"":33,""magnesium"":12,""iron"":0.4,""zinc"":0.84,""phosphor"":102}",frida_dtu,356,true
frida-358,"Spegepølse",andre,"Spegepølse fra Frida DTU database",454.77,14.77,,43.97,,"{""A"":9,""D"":0.35,""E"":0.63,""B1"":1.7,""B2"":0.172,""B3"":3.7,""B6"":0.21,""Folate"":2,""C"":17}","{""sodium"":1915,""potassium"":241,""calcium"":33,""magnesium"":16,""iron"":1.31,""zinc"":2.4,""selenium"":8.1,""phosphor"":149}",frida_dtu,358,true
frida-359,"Skærekage  sandkage",kød,"Skærekage  sandkage fra Frida DTU database",446.2,6.23,48.7,25,,"{""A"":262,""D"":0.5,""E"":2.4,""B1"":0.3,""B2"":0.05,""B3"":0.4,""B6"":0.04,""Folate"":6.1,""C"":0}","{""sodium"":239,""potassium"":98,""calcium"":85,""magnesium"":11,""iron"":0.4,""zinc"":0.8,""selenium"":5.97,""phosphor"":92}",frida_dtu,359,true
frida-364,"Kvæde  rå",andre,"Kvæde  rå fra Frida DTU database",59.9,0.4,6.3,0.1,,"{""A"":4,""D"":0,""E"":0.1,""B1"":0,""B2"":0.03,""B3"":0.2,""B6"":0.04,""Folate"":3,""C"":15}","{""sodium"":4,""potassium"":197,""calcium"":11,""magnesium"":8,""iron"":0.7,""zinc"":0.1,""selenium"":1,""phosphor"":17}",frida_dtu,364,true
frida-366,"Græskar  rå",andre,"Græskar  rå fra Frida DTU database",17.9,0.6,3.3,0.1,,"{""A"":7.5,""D"":0,""E"":0.1,""B1"":0,""B2"":0.02,""B3"":0.2,""B6"":0.05,""Folate"":5,""C"":5}","{""sodium"":2,""potassium"":243,""calcium"":20,""magnesium"":11,""iron"":0,""zinc"":0.2,""selenium"":0,""phosphor"":33}",frida_dtu,366,true
