id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1523,"Wheat bread, with coarse meal, industrially produced",kornprodukter,"Wheat bread, with coarse meal, industrially produced fra Frida DTU database",253.29,9,43.03,3.63,,"{""A"":0,""D"":0,""E"":0.5,""B1"":0.164,""B2"":0.072,""B3"":1.06,""Folate"":23.4,""C"":0}","{""sodium"":421,""potassium"":155,""calcium"":26,""magnesium"":28,""iron"":1.18,""zinc"":0.92,""selenium"":3.7,""phosphor"":110}",frida_dtu,1523,true
frida-1524,"Wheat bread, large, with coarse meal, retail bakery",kornprodukter,"Wheat bread, large, with coarse meal, retail bakery fra Frida DTU database",256.37,8.36,46,3,,"{""B1"":0.176,""B2"":0.078,""B3"":1.58,""Folate"":38.89}","{""sodium"":506,""potassium"":170,""calcium"":45,""magnesium"":34,""iron"":1.19,""zinc"":0.93,""selenium"":2.24,""phosphor"":131}",frida_dtu,1524,true
frida-1548,"Tiger prawn, aquaculture, raw, frozen",andre,"Tiger prawn, aquaculture, raw, frozen fra Frida DTU database",68.19,15.7,,0.6,,"{""A"":0,""D"":0,""E"":1.15,""B1"":0.03,""B2"":0.025,""B3"":1.55,""C"":0}","{""sodium"":412,""potassium"":104,""calcium"":72,""magnesium"":30,""iron"":0.57,""zinc"":0.97,""selenium"":29.5,""phosphor"":199}",frida_dtu,1548,true
frida-1549,"Prawn, giant tiger, aquaculture, boiled, frozen",fedtstoffer,"Prawn, giant tiger, aquaculture, boiled, frozen fra Frida DTU database",58.03,13.5,,0.45,,"{}","{""sodium"":570,""selenium"":32.1}",frida_dtu,1549,true
frida-1552,"Salmon, Atlantic, aquaculture, cold smoked",fisk,"Salmon, Atlantic, aquaculture, cold smoked fra Frida DTU database",169.88,20.86,,8.9,,"{""A"":6.45,""D"":0,""E"":2.24,""B1"":0.26,""B2"":0.083,""B3"":7.5}","{""sodium"":1207,""potassium"":408,""calcium"":6,""magnesium"":28,""iron"":0.22,""zinc"":0.34,""selenium"":17.33,""phosphor"":248}",frida_dtu,1552,true
frida-1553,"Salmon, atlantic, aquaculture, hot smoked",fisk,"Salmon, atlantic, aquaculture, hot smoked fra Frida DTU database",266.75,20.11,,20.7,,"{""A"":12,""D"":0,""E"":3.8,""B1"":0.265,""B2"":0.115,""B3"":8.05}","{""sodium"":519,""potassium"":393,""calcium"":10,""magnesium"":28,""iron"":0.34,""zinc"":0.33,""selenium"":7.4,""phosphor"":246}",frida_dtu,1553,true
frida-1570,"White Wheat, whole grain flour, ready-to-bake",kornprodukter,"White Wheat, whole grain flour, ready-to-bake fra Frida DTU database",340.96,11.89,59.3,4.2,,"{}","{""sodium"":753,""potassium"":337,""calcium"":87,""magnesium"":77,""iron"":2.74,""zinc"":1.73,""phosphor"":263}",frida_dtu,1570,true
frida-1573,"Butter cookie, wheat, Danish, industrially produced",mejeriprodukter,"Butter cookie, wheat, Danish, industrially produced fra Frida DTU database",519.81,4.89,61.69,27.11,,"{""B3"":2.15}","{""sodium"":219}",frida_dtu,1573,true
frida-1574,"American inspired cookie",andre,"American inspired cookie fra Frida DTU database",511.41,5.42,58.4,26.53,,"{""A"":183,""D"":0.3,""E"":2.2,""B1"":0.1,""B2"":0.1,""B3"":1.2,""Folate"":7,""C"":0}","{""sodium"":281,""potassium"":202,""calcium"":95,""magnesium"":37,""iron"":1.6,""zinc"":0.8,""selenium"":4.07,""phosphor"":113}",frida_dtu,1574,true
frida-1575,"Cookies, oat flakes, industrially produced",andre,"Cookies, oat flakes, industrially produced fra Frida DTU database",503.78,5,61.18,26.6,,"{""A"":2.7,""D"":0,""E"":4,""B1"":0.078,""B2"":0.052,""B3"":1.2,""Folate"":11.2,""C"":0}","{""sodium"":214,""potassium"":124,""calcium"":198,""magnesium"":44,""iron"":1.2,""zinc"":0.9,""selenium"":2.7,""phosphor"":254}",frida_dtu,1575,true
frida-1576,"Butter cookie, brown, (Danish), industrially produced",mejeriprodukter,"Butter cookie, brown, (Danish), industrially produced fra Frida DTU database",468.6,5.24,66,17.77,,"{""A"":175,""D"":0.1,""E"":2.4,""B1"":0.1,""B2"":0,""B3"":2.15,""Folate"":9.5,""C"":0.9}","{""sodium"":248,""potassium"":172,""calcium"":141,""magnesium"":29,""iron"":1.3,""zinc"":0.6,""selenium"":2.5,""phosphor"":139}",frida_dtu,1576,true
frida-1577,"Biscuit, sweet, pepper nuts, Danish tradition, industrially produced",grøntsager,"Biscuit, sweet, pepper nuts, Danish tradition, industrially produced fra Frida DTU database",475.75,5.31,67.23,19.19,,"{""A"":174,""D"":0,""E"":3,""B1"":0,""B2"":0.1,""B3"":2.15,""Folate"":9.9,""C"":0.1}","{""sodium"":218,""potassium"":249,""calcium"":174,""magnesium"":35,""iron"":1.8,""zinc"":1,""selenium"":2,""phosphor"":149}",frida_dtu,1577,true
frida-1578,"Cookies, Klenät, industrially produced",andre,"Cookies, Klenät, industrially produced fra Frida DTU database",527,5,49.24,36.43,,"{""A"":141,""D"":0.5,""E"":1.9,""B1"":0.1,""B2"":0.1,""B3"":1.2,""Folate"":11,""C"":0.2}","{""sodium"":96,""potassium"":99,""calcium"":20,""magnesium"":14,""iron"":0.8,""zinc"":0.6,""selenium"":5.64,""phosphor"":82}",frida_dtu,1578,true
frida-1579,"Cookies, low sugar content, industrially produced",andre,"Cookies, low sugar content, industrially produced fra Frida DTU database",482.78,6.51,47.13,23.73,,"{""B3"":2.15}","{""sodium"":183}",frida_dtu,1579,true
frida-1580,"Cookies, coconut, industrially produced",andre,"Cookies, coconut, industrially produced fra Frida DTU database",460.43,4.06,48.59,22,,"{""A"":170,""D"":0,""E"":2.1,""B1"":0.1,""B2"":0,""B3"":1,""Folate"":8.8,""C"":0}","{""sodium"":55,""potassium"":140,""calcium"":140,""magnesium"":37,""iron"":1,""zinc"":0.7,""selenium"":2.7,""phosphor"":190}",frida_dtu,1580,true
frida-1581,"Cookie, truffle product / unbaked, industrially produced",andre,"Cookie, truffle product / unbaked, industrially produced fra Frida DTU database",449.03,3.69,58.07,21.79,,"{""A"":211.3,""D"":1.97,""E"":2.84,""B1"":0.03,""B2"":0.04,""B3"":0.41,""Folate"":9.2,""C"":0.3}","{""sodium"":151,""potassium"":123,""calcium"":28,""magnesium"":18,""iron"":0.58,""zinc"":0.38,""selenium"":2.59,""phosphor"":87}",frida_dtu,1581,true
frida-1582,"Wreath cake, almond based, Danish tradition",nødder,"Wreath cake, almond based, Danish tradition fra Frida DTU database",442.8,6.03,59.92,19,,"{""A"":8.9,""D"":0,""E"":8.5,""B1"":0.1,""B2"":0.3,""B3"":4.1,""Folate"":43,""C"":0}","{""sodium"":39,""potassium"":201,""calcium"":42,""magnesium"":100,""iron"":1,""zinc"":1.1,""selenium"":1.3,""phosphor"":171}",frida_dtu,1582,true
frida-1584,"Sweetcorn, baby, on-the-cob, raw",andre,"Sweetcorn, baby, on-the-cob, raw fra Frida DTU database",36.58,2.34,3.72,0.49,,"{""A"":2.75,""D"":0,""B1"":0.086,""Folate"":129.75,""C"":8.82}","{""sodium"":1,""potassium"":212,""calcium"":18,""magnesium"":27,""iron"":0.38,""zinc"":0.64,""selenium"":0}",frida_dtu,1584,true
frida-1585,"Pomelo (pommelo; shaddock), raw",kornprodukter,"Pomelo (pommelo; shaddock), raw fra Frida DTU database",57.47,1.03,7.77,0.67,,"{""A"":1.08,""D"":0,""E"":0.09,""B1"":0.05,""B2"":0.03,""B3"":0.2,""Folate"":40,""C"":41.75}","{""sodium"":2,""potassium"":164,""calcium"":34,""magnesium"":10,""iron"":0.23,""zinc"":0.1,""selenium"":0.22,""phosphor"":20}",frida_dtu,1585,true
frida-1586,"Biscuit, rye",andre,"Biscuit, rye fra Frida DTU database",445.79,6.06,63.75,14.88,,"{""A"":0,""D"":0,""E"":1.3,""B1"":0.098,""B2"":0.035,""B3"":1.29,""Folate"":12.7,""C"":0}","{""sodium"":551,""potassium"":174,""calcium"":26,""magnesium"":30,""iron"":1.17,""zinc"":0.67,""selenium"":3.2,""phosphor"":116}",frida_dtu,1586,true
frida-1587,"Biscuit, wheat, sweet with thick chocolate",andre,"Biscuit, wheat, sweet with thick chocolate fra Frida DTU database",504,6,59.18,24.89,,"{""A"":40.7,""D"":0,""E"":1.1,""B1"":0.05,""B2"":0.27,""B3"":0.4,""Folate"":6.3,""C"":0.1}","{""sodium"":203,""potassium"":293,""calcium"":201,""magnesium"":36,""iron"":1.2,""zinc"":1,""selenium"":1,""phosphor"":177}",frida_dtu,1587,true
frida-1588,"Biscuit, double, wheat, sweet",andre,"Biscuit, double, wheat, sweet fra Frida DTU database",481.2,5.69,66.15,19.71,,"{}","{""sodium"":197}",frida_dtu,1588,true
frida-1589,"Biscuit, oat, sweet",andre,"Biscuit, oat, sweet fra Frida DTU database",468.34,6.9,57.92,19.64,,"{}","{""sodium"":314}",frida_dtu,1589,true
frida-1590,"Biscuit, oat, sweet with chokolate",andre,"Biscuit, oat, sweet with chokolate fra Frida DTU database",488.94,6.54,57.99,22.96,,"{}","{""sodium"":347}",frida_dtu,1590,true
frida-1591,"Granola bar",andre,"Granola bar fra Frida DTU database",435.37,6.1,57.85,14.96,,"{""A"":8,""D"":0,""E"":0.82,""B1"":0.28,""B2"":0.11,""B3"":1.75,""Folate"":81,""C"":1}","{""sodium"":238,""potassium"":326,""calcium"":60,""magnesium"":101,""iron"":3.18,""zinc"":1.6,""selenium"":16,""phosphor"":277}",frida_dtu,1591,true
frida-1592,"Wafer sticks",andre,"Wafer sticks fra Frida DTU database",509.57,4.18,62.95,25.7,,"{""A"":0.4,""D"":0,""E"":3.1,""B1"":0.1,""B2"":0.1,""B3"":0.9,""Folate"":6.1,""C"":0}","{""sodium"":111,""potassium"":141,""calcium"":38,""magnesium"":16,""iron"":0.5,""zinc"":0.4,""selenium"":1.6,""phosphor"":80}",frida_dtu,1592,true
frida-1595,"Biscuit, coarse grain with fruit and vegetables",frugt,"Biscuit, coarse grain with fruit and vegetables fra Frida DTU database",433.49,7.79,61.81,13.69,,"{""B1"":0,""B2"":0,""B3"":3,""Folate"":30}","{""sodium"":401,""potassium"":322,""calcium"":96,""magnesium"":59,""iron"":2.57,""zinc"":1.01,""selenium"":3.9,""phosphor"":175}",frida_dtu,1595,true
frida-1596,"Milk, skimmed, 0.1 % fat",mejeriprodukter,"Milk, skimmed, 0.1 % fat fra Frida DTU database",34.96,3.57,4.62,0.09,,"{""A"":0.84,""D"":0.03,""E"":0,""B1"":0.041,""B2"":0.161,""B3"":0.09}","{""sodium"":36,""potassium"":157,""calcium"":119,""magnesium"":11,""iron"":0.02,""zinc"":0.39,""selenium"":1.51,""phosphor"":94}",frida_dtu,1596,true
frida-1597,"Yogurt plain, low fat, 1.5 % fat",mejeriprodukter,"Yogurt plain, low fat, 1.5 % fat fra Frida DTU database",47.6,4.08,3.5,1.49,,"{""A"":3,""D"":0.05,""E"":0,""B1"":0.04,""B2"":0.22,""B3"":0.1}","{""sodium"":39,""potassium"":144,""calcium"":134,""magnesium"":12,""iron"":0.02,""zinc"":0.47,""selenium"":1.6,""phosphor"":100}",frida_dtu,1597,true
frida-1598,"Yogurt low fat, 0.1 % fat",mejeriprodukter,"Yogurt low fat, 0.1 % fat fra Frida DTU database",38.71,4.27,3.8,0.21,,"{""A"":1.83,""D"":0.04,""E"":0.01,""B1"":0.04,""B2"":0.17,""B3"":0.1,""Folate"":23}","{""sodium"":37,""potassium"":146,""calcium"":149,""magnesium"":13,""iron"":0.02,""zinc"":0.48,""selenium"":3.7,""phosphor"":105}",frida_dtu,1598,true
frida-1607,"Bread, wheat, white wheat, wholw grain, retail bakery",kornprodukter,"Bread, wheat, white wheat, wholw grain, retail bakery fra Frida DTU database",252.47,8.89,44,3,,"{}","{""sodium"":557,""potassium"":248,""calcium"":61,""magnesium"":55,""iron"":2.05,""zinc"":1.4,""phosphor"":188}",frida_dtu,1607,true
frida-1608,"Rolls, White Wheat, whole grain, industrially produced",andre,"Rolls, White Wheat, whole grain, industrially produced fra Frida DTU database",231.37,8.21,41.5,1.97,,"{}","{""sodium"":375,""potassium"":195,""calcium"":33,""magnesium"":37,""iron"":1.58,""zinc"":1.12,""phosphor"":136}",frida_dtu,1608,true
frida-1609,"Bread, wheat, white wheat, wholw grain, industrially produced",kornprodukter,"Bread, wheat, white wheat, wholw grain, industrially produced fra Frida DTU database",223.12,7.87,40,1.72,,"{}","{""sodium"":486,""potassium"":183,""calcium"":24,""magnesium"":36,""iron"":2,""zinc"":1.11,""selenium"":3.7,""phosphor"":130}",frida_dtu,1609,true
frida-1610,"Herring, Baltic Sea, unspecified, raw",andre,"Herring, Baltic Sea, unspecified, raw fra Frida DTU database",122.5,16.21,,6.41,,"{""A"":36.95,""D"":12}","{""sodium"":90}",frida_dtu,1610,true
frida-1611,"Beef, mince, 5-10% fat, raw",kød,"Beef, mince, 5-10% fat, raw fra Frida DTU database",163.5,19.45,,9.52,,"{""A"":6.9,""D"":0.51,""E"":0.48,""B1"":0.047,""B2"":0.17,""B3"":4.32,""Folate"":9.56}","{""sodium"":61,""potassium"":312,""calcium"":7,""magnesium"":20,""iron"":2.26,""zinc"":4.34,""selenium"":6.8,""phosphor"":177}",frida_dtu,1611,true
frida-1612,"Pork, mince, 10-15% fat, raw",kød,"Pork, mince, 10-15% fat, raw fra Frida DTU database",168.93,18.85,,10.39,,"{""A"":7.2,""D"":0.59,""E"":0.54,""B1"":0.723,""B2"":0.191,""B3"":5.98,""Folate"":4.29}","{""sodium"":59,""potassium"":331,""calcium"":8,""magnesium"":21,""iron"":0.88,""zinc"":2.18,""selenium"":7.15,""phosphor"":190}",frida_dtu,1612,true
frida-1613,"Turkey, mince, 5-10% fat, raw",kød,"Turkey, mince, 5-10% fat, raw fra Frida DTU database",157.12,20.08,,8.53,,"{""A"":16.1,""D"":0,""E"":0.11,""B1"":0.075,""B2"":0.189,""B3"":6.68,""Folate"":24.67,""C"":0}","{""sodium"":65,""potassium"":333,""calcium"":8,""magnesium"":24,""iron"":0.95,""zinc"":2.08,""selenium"":9.9,""phosphor"":214}",frida_dtu,1613,true
frida-1615,"Hamburger, small patty, salad and dressing, fast food",andre,"Hamburger, small patty, salad and dressing, fast food fra Frida DTU database",225.62,9.8,22.5,10.42,,"{""B1"":0.087,""B2"":0.078}","{""sodium"":439,""potassium"":212,""calcium"":24,""magnesium"":19,""iron"":1.14,""zinc"":1.62,""phosphor"":95}",frida_dtu,1615,true
frida-1616,"Hamburger, medium patty, salad and dressing, fast food",andre,"Hamburger, medium patty, salad and dressing, fast food fra Frida DTU database",225.48,11.16,12.49,11.56,0.94,"{""A"":14.42,""D"":0,""E"":1.47,""B1"":0.08,""B2"":0,""B3"":1.72,""Folate"":12.6,""C"":1.81}","{""sodium"":380,""potassium"":205,""calcium"":34,""magnesium"":19,""iron"":1.16,""zinc"":1.92,""selenium"":5.1,""phosphor"":103}",frida_dtu,1616,true
frida-1617,"Hamburger, large patty, salad and dressing, fast food",andre,"Hamburger, large patty, salad and dressing, fast food fra Frida DTU database",231.26,12.74,15.02,13.05,,"{""B1"":0.079,""B2"":0.105}","{""sodium"":380,""potassium"":225,""calcium"":29,""magnesium"":18,""iron"":1.37,""zinc"":2.54,""phosphor"":108}",frida_dtu,1617,true
frida-1618,"Hamburger and bacon, salad and dressing, fast food",andre,"Hamburger and bacon, salad and dressing, fast food fra Frida DTU database",254.52,11.66,19.22,14.23,,"{""B1"":0.1,""B2"":0.083}","{""sodium"":555,""potassium"":253,""calcium"":32,""magnesium"":26,""iron"":1,""zinc"":1.6,""phosphor"":118}",frida_dtu,1618,true
frida-1619,"Cheeseburger, salad and dressing, fast food",mejeriprodukter,"Cheeseburger, salad and dressing, fast food fra Frida DTU database",236,11.24,12.68,12.16,0.91,"{""A"":23.9,""D"":0.01,""E"":1.07,""B1"":0.064,""B2"":0.114,""B3"":1.48,""Folate"":16.96,""C"":1.24}","{""sodium"":434,""potassium"":217,""calcium"":66,""magnesium"":19,""iron"":1.13,""zinc"":1.79,""selenium"":5.5,""phosphor"":127}",frida_dtu,1619,true
frida-1620,"Hamburger, bacon and cheese, salad and dressing, fast food",mejeriprodukter,"Hamburger, bacon and cheese, salad and dressing, fast food fra Frida DTU database",238.78,14.43,8.86,13.19,0.7,"{""A"":18.25,""D"":0,""E"":1.32,""B1"":0.078,""B2"":0.107,""B3"":2.44,""Folate"":13.5,""C"":1.8}","{""sodium"":514,""potassium"":229,""calcium"":48,""magnesium"":19,""iron"":1.16,""zinc"":2.21,""selenium"":6.6,""phosphor"":128}",frida_dtu,1620,true
frida-1621,"Hamburger, chicken, salad and dressing, fast food",kød,"Hamburger, chicken, salad and dressing, fast food fra Frida DTU database",225.69,9.21,14.32,11.49,1.05,"{""A"":14.02,""D"":0,""E"":2.13,""B1"":0.085,""B2"":0.07,""B3"":2.38,""Folate"":13.25,""C"":1.21}","{""sodium"":444,""potassium"":201,""calcium"":27,""magnesium"":19,""iron"":0.47,""zinc"":0.52,""selenium"":4.05,""phosphor"":122}",frida_dtu,1621,true
frida-1622,"Sandwich with chicken, salad and dressing, fast food",kød,"Sandwich with chicken, salad and dressing, fast food fra Frida DTU database",219.77,10.5,28.89,6.48,,"{""B1"":0.116,""B2"":0.062}","{""sodium"":533,""potassium"":185,""calcium"":41,""magnesium"":18,""iron"":0.58,""zinc"":0.6,""phosphor"":106}",frida_dtu,1622,true
frida-1623,"Sandwich with chicken and bacon, salad and dressing, fast food",kød,"Sandwich with chicken and bacon, salad and dressing, fast food fra Frida DTU database",201.52,11.4,13.1,7.39,1.04,"{""A"":13.49,""D"":0,""E"":1,""B1"":0.105,""B2"":0.069,""B3"":3.48,""Folate"":13.6,""C"":2.75}","{""sodium"":529,""potassium"":222,""calcium"":23,""magnesium"":20,""iron"":0.57,""zinc"":0.64,""selenium"":4.35,""phosphor"":130}",frida_dtu,1623,true
frida-1624,"Sandwich, ham and cheese, salad and dressing, fast food",mejeriprodukter,"Sandwich, ham and cheese, salad and dressing, fast food fra Frida DTU database",225,9,26.14,8.88,,"{""B1"":0.134,""B2"":0.09}","{""sodium"":567,""potassium"":148,""calcium"":123,""magnesium"":19,""iron"":0.55,""zinc"":1.07,""phosphor"":140}",frida_dtu,1624,true
frida-1625,"Sandwich with eggs / shrimp, salad and dressing, fast food",andre,"Sandwich with eggs / shrimp, salad and dressing, fast food fra Frida DTU database",185.82,7.75,24.1,6.15,,"{""B1"":0.115,""B2"":0.099}","{""sodium"":426,""potassium"":136,""calcium"":31,""magnesium"":16,""iron"":0.78,""zinc"":0.63,""phosphor"":92}",frida_dtu,1625,true
